Date,Host,Service,Content
"2026-06-19T01:11:02.367Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:11:01] Msgs=809124342 Throughput=317.067044 Response_Time=17.660896 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=33 Current_Connections=2303 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:10:02.870Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:10:01] Msgs=812462209 Throughput=318.528315 Response_Time=17.588215 Wait_Time_In_Queue=0.005620 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=34 Current_Connections=2254 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:10:02.690Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:10:01] Msgs=791283720 Throughput=310.147159 Response_Time=17.494864 Wait_Time_In_Queue=0.005967 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=27 Current_Connections=2163 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:10:02.329Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:10:01] Msgs=809057612 Throughput=317.048350 Response_Time=17.660796 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=30 Current_Connections=2241 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:10:02.096Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:10:01] Msgs=777305919 Throughput=304.706597 Response_Time=17.164262 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=24 Current_Connections=2213 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:09:02.833Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:09:01] Msgs=812395824 Throughput=318.509781 Response_Time=17.588171 Wait_Time_In_Queue=0.005619 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=20 Current_Connections=2160 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:09:02.650Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:09:01] Msgs=791217837 Throughput=310.128630 Response_Time=17.494770 Wait_Time_In_Queue=0.005967 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=23 Current_Connections=2125 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:09:02.289Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:09:01] Msgs=808990042 Throughput=317.029325 Response_Time=17.660683 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=24 Current_Connections=2432 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:09:02.061Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:09:01] Msgs=777241395 Throughput=304.688469 Response_Time=17.164284 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=22 Current_Connections=2169 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:08:03.023Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:08:01] Msgs=777177987 Throughput=304.670779 Response_Time=17.164273 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=18 Current_Connections=2341 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
